Datetime,Demand
2000-06-05 00:00,44018
2000-06-05 01:00,45006
2000-06-05 02:00,44862
2000-06-05 03:00,43988
2000-06-05 04:00,43087
2000-06-05 05:00,43539
2000-06-05 06:00,52115
2000-06-05 07:00,64549
2000-06-05 08:00,71462
2000-06-05 09:00,74130
2000-06-05 10:00,74946
2000-06-05 11:00,75636
2000-06-05 12:00,75373
2000-06-05 13:00,73920
2000-06-05 14:00,73708
2000-06-05 15:00,73585
2000-06-05 16:00,75019
2000-06-05 17:00,73888
2000-06-05 18:00,69938
2000-06-05 19:00,66587
2000-06-05 20:00,64155
2000-06-05 21:00,65422
2000-06-05 22:00,63146
2000-06-05 23:00,55032
2000-06-06 00:00,49413
2000-06-06 01:00,50022
2000-06-06 02:00,49580
2000-06-06 03:00,48587
2000-06-06 04:00,47267
2000-06-06 05:00,47477
2000-06-06 06:00,54667
2000-06-06 07:00,66338
2000-06-06 08:00,72294
2000-06-06 09:00,74271
2000-06-06 10:00,74221
2000-06-06 11:00,75421
2000-06-06 12:00,75522
2000-06-06 13:00,74080
2000-06-06 14:00,73990
2000-06-06 15:00,73550
2000-06-06 16:00,74750
2000-06-06 17:00,73651
2000-06-06 18:00,69409
2000-06-06 19:00,65649
2000-06-06 20:00,63049
2000-06-06 21:00,63343
2000-06-06 22:00,63066
2000-06-06 23:00,55633
2000-06-07 00:00,49532
2000-06-07 01:00,49956
2000-06-07 02:00,49835
2000-06-07 03:00,48716
2000-06-07 04:00,47320
2000-06-07 05:00,47518
2000-06-07 06:00,54675
2000-06-07 07:00,66269
2000-06-07 08:00,71672
2000-06-07 09:00,73150
2000-06-07 10:00,73562
2000-06-07 11:00,73807
2000-06-07 12:00,73379
2000-06-07 13:00,72643
2000-06-07 14:00,71992
2000-06-07 15:00,71983
2000-06-07 16:00,73382
2000-06-07 17:00,72535
2000-06-07 18:00,68756
2000-06-07 19:00,65766
2000-06-07 20:00,63431
2000-06-07 21:00,65086
2000-06-07 22:00,62553
2000-06-07 23:00,55412
2000-06-08 00:00,49504
2000-06-08 01:00,49793
2000-06-08 02:00,49284
2000-06-08 03:00,47922
2000-06-08 04:00,46919
2000-06-08 05:00,47153
2000-06-08 06:00,54449
2000-06-08 07:00,66239
2000-06-08 08:00,72114
2000-06-08 09:00,74044
2000-06-08 10:00,74606
2000-06-08 11:00,75211
2000-06-08 12:00,75009
2000-06-08 13:00,73909
2000-06-08 14:00,73339
2000-06-08 15:00,73021
2000-06-08 16:00,74172
2000-06-08 17:00,72844
2000-06-08 18:00,69246
2000-06-08 19:00,65862
2000-06-08 20:00,63368
2000-06-08 21:00,63895
2000-06-08 22:00,63294
2000-06-08 23:00,55902
2000-06-09 00:00,50008
2000-06-09 01:00,49985
2000-06-09 02:00,48989
