Rooms,Bathroom,Landsize,BuildingArea,Suburb,YearBuilt,Lattitude,Longtitude,Car,Price
2,1.0,202.0,103.0,Abbotsford,1945.0,-37.7996,144.9984,1.0,1480000.0
2,1.0,156.0,79.0,Abbotsford,1900.0,-37.8079,144.9934,0.0,1035000.0
3,2.0,134.0,150.0,Abbotsford,1900.0,-37.8093,144.9944,0.0,1465000.0
3,2.0,94.0,103.0,Abbotsford,1945.0,-37.7969,144.9969,1.0,850000.0
4,1.0,120.0,142.0,Abbotsford,2014.0,-37.8072,144.9941,2.0,1600000.0
2,1.0,181.0,103.0,Abbotsford,1945.0,-37.8041,144.9953,0.0,941000.0
3,2.0,245.0,210.0,Abbotsford,1910.0,-37.8024,144.9993,0.0,1876000.0
2,1.0,256.0,107.0,Abbotsford,1890.0,-37.806,144.9954,2.0,1636000.0
1,1.0,0.0,103.0,Abbotsford,1945.0,-37.8008,144.9973,1.0,300000.0
2,1.0,220.0,75.0,Abbotsford,1900.0,-37.801,144.9989,2.0,1097000.0
2,2.0,0.0,103.0,Abbotsford,1945.0,-37.811,145.0067,1.0,700000.0
3,2.0,214.0,190.0,Abbotsford,2005.0,-37.8085,144.9964,2.0,1350000.0
2,2.0,0.0,94.0,Abbotsford,2009.0,-37.8078,144.9965,1.0,750000.0
2,1.0,195.0,103.0,Abbotsford,1945.0,-37.8084,144.9973,1.0,1172500.0
1,1.0,0.0,103.0,Abbotsford,1945.0,-37.8016,144.9988,1.0,441000.0
2,1.0,238.0,97.0,Abbotsford,1890.0,-37.809,144.9976,2.0,1310000.0
3,2.0,113.0,110.0,Abbotsford,1880.0,-37.8056,144.993,1.0,1200000.0
3,1.0,138.0,105.0,Abbotsford,1890.0,-37.8021,144.9965,1.0,1176500.0
3,1.0,183.0,103.0,Abbotsford,1945.0,-37.8022,144.9975,0.0,955000.0
2,1.0,150.0,73.0,Abbotsford,1985.0,-37.8011,145.0004,1.0,890000.0
4,2.0,780.0,135.0,Abbotsford,1900.0,-37.8073,144.9952,2.0,1330000.0
3,2.0,0.0,103.0,Abbotsford,2010.0,-37.8093,144.9959,2.0,900000.0
3,2.0,4290.0,27.0,Abbotsford,1945.0,-37.8078,144.9965,2.0,1090000.0
2,1.0,0.0,60.0,Abbotsford,1970.0,-37.8015,144.9972,1.0,500000.0
2,2.0,124.0,135.0,Abbotsford,2013.0,-37.8079,144.9977,1.0,1100000.0
2,1.0,147.0,85.0,Abbotsford,1900.0,-37.808,144.994,0.0,1315000.0
1,1.0,0.0,103.0,Abbotsford,1945.0,-37.8016,144.9988,1.0,426000.0
3,3.0,166.0,174.0,Abbotsford,2012.0,-37.8017,145.0001,1.0,1447500.0
1,1.0,0.0,50.0,Abbotsford,1945.0,-37.8078,144.9965,1.0,457000.0
2,2.0,98.0,128.0,Abbotsford,1920.0,-37.8005,144.9952,2.0,1135000.0
4,3.0,0.0,103.0,Abbotsford,1945.0,-37.7994,144.9965,1.0,1542000.0
3,2.0,147.0,18.0,Abbotsford,1945.0,-37.805,144.9943,2.0,1290000.0
3,1.0,168.0,124.0,Abbotsford,1950.0,-37.8007,144.9958,1.0,1290000.0
1,1.0,0.0,50.0,Abbotsford,2013.0,-37.8055,144.9961,1.0,470000.0
2,1.0,162.0,91.0,Abbotsford,1900.0,-37.8016,144.9956,0.0,1180000.0
3,2.0,120.0,128.0,Abbotsford,1998.0,-37.8022,144.9954,1.0,1195000.0
2,1.0,182.0,82.0,Abbotsford,1900.0,-37.8021,144.9976,0.0,1012500.0
2,1.0,172.0,81.0,Abbotsford,1930.0,-37.8086,144.9946,1.0,1030000.0
3,2.0,303.0,225.0,Airport West,2016.0,-37.718,144.878,1.0,840000.0
3,2.0,0.0,145.0,Airport West,1965.0,-37.7203,144.8755,1.0,730000.0
3,2.0,0.0,145.0,Airport West,1965.0,-37.7203,144.8755,1.0,770000.0
2,1.0,272.0,84.0,Airport West,1950.0,-37.7294,144.888,1.0,603000.0
3,2.0,239.0,134.0,Airport West,2009.0,-37.7218,144.8837,2.0,700000.0
3,1.0,290.0,116.0,Airport West,1980.0,-37.7273,144.8744,1.0,600000.0
2,1.0,168.0,86.0,Airport West,2011.0,-37.7215,144.8864,1.0,500000.0
3,1.0,620.0,135.0,Airport West,1984.0,-37.7173,144.8872,1.0,720000.0
4,1.0,597.0,127.0,Airport West,1984.0,-37.7259,144.8792,2.0,785000.0
6,3.0,976.0,186.0,Airport West,1980.0,-37.7239,144.8735,2.0,725000.0
2,1.0,110.0,90.0,Airport West,2015.0,-37.7216,144.871,1.0,450000.0
2,1.0,141.0,73.0,Airport West,2013.0,-37.7298,144.8883,1.0,515000.0
2,1.0,120.0,94.0,Airport West,2012.0,-37.7234,144.8792,1.0,530000.0
3,1.0,1063.0,133.0,Airport West,1975.0,-37.7249,144.8728,6.0,895000.0
3,1.0,0.0,105.0,Airport West,1950.0,-37.7217,144.8783,1.0,805000.0
3,1.0,265.0,130.0,Airport West,1993.0,-37.7302,144.8855,1.0,752000.0
2,1.0,192.0,135.0,Airport West,1984.0,-37.7177,144.8787,1.0,440000.0
5,2.0,596.0,135.0,Airport West,1984.0,-37.7248,144.8699,2.0,755000.0
3,2.0,165.0,133.0,Airport West,2009.0,-37.727,144.887,2.0,700000.0
3,1.0,971.0,113.0,Airport West,1960.0,-37.7186,144.876,2.0,830000.0
2,1.0,164.0,135.0,Airport West,2003.0,-37.7218,144.8863,1.0,462500.0
3,2.0,657.0,135.0,Airport West,1984.0,-37.7269,144.8742,2.0,670000.0
2,1.0,612.0,100.0,Airport West,1975.0,-37.7187,144.8765,1.0,675000.0
3,2.0,612.0,174.0,Airport West,1950.0,-37.7173,144.8796,5.0,1042000.0
3,1.0,775.0,135.0,Airport West,1984.0,-37.7231,144.8835,1.0,910000.0
4,3.0,531.0,309.0,Airport West,1980.0,-37.7263,144.8679,4.0,773000.0
3,3.0,555.0,192.0,Airport West,1980.0,-37.7285,144.8694,2.0,810000.0
3,2.0,422.0,126.0,Airport West,1995.0,-37.7164,144.8792,2.0,715000.0
3,1.0,614.0,135.0,Airport West,1984.0,-37.7194,144.8827,3.0,790000.0
3,2.0,161.0,101.0,Airport West,2010.0,-37.7231,144.8802,1.0,540000.0
3,2.0,293.0,102.0,Airport West,1960.0,-37.72,144.8776,1.0,825000.0
3,1.0,579.0,113.0,Airport West,1975.0,-37.7226,144.8733,1.0,685000.0
3,1.0,623.0,135.0,Airport West,1984.0,-37.7184,144.882,1.0,805000.0
2,1.0,141.0,76.0,Airport West,1984.0,-37.7202,144.8797,1.0,510000.0
3,2.0,212.0,135.0,Airport West,1984.0,-37.7181,144.8824,1.0,612000.0
3,1.0,612.0,135.0,Airport West,1984.0,-37.7169,144.8815,2.0,662000.0
4,3.0,532.0,135.0,Airport West,1984.0,-37.7263,144.869,2.0,978000.0
3,1.0,585.0,135.0,Airport West,1984.0,-37.72,144.878,1.0,720000.0
4,1.0,509.0,135.0,Airport West,1984.0,-37.7261,144.8785,2.0,765000.0
4,2.0,628.0,146.0,Airport West,1975.0,-37.7256,144.8739,3.0,900000.0
2,1.0,120.0,82.0,Albert Park,1900.0,-37.8459,144.9555,0.0,1275000.0
2,1.0,159.0,123.0,Albert Park,1903.0,-37.845,144.9538,0.0,1455000.0
3,2.0,211.0,198.0,Albert Park,1890.0,-37.8481,144.9499,0.0,2850000.0
3,2.0,128.0,133.0,Albert Park,1890.0,-37.8452,144.9488,0.0,1850000.0
